"","effect","group","term","estimate","std.error","statistic","df","p.value"
"1","fixed",NA,"(Intercept)",13.9451666666667,3.57091151366227,3.90521204832789,15.8340479227791,0.00128222743478733
"2","fixed",NA,"watering_regimedrought",0.559599999999984,4.95136403914759,0.113019361043855,14.0000000004434,0.911619842574693
"3","fixed",NA,"timepointD+4",19.0235333333333,4.95136403914759,3.84207931045368,13.9999999990661,0.0017953682123081
"4","fixed",NA,"timepointN+10",23.8401,4.95136403914759,4.81485502005307,13.9999999977799,0.000274788978318791
"5","fixed",NA,"timepointN+4",5.74463333333332,4.95136403914759,1.16021227441849,13.9999999977533,0.265365934014755
"6","fixed",NA,"watering_regimedrought:timepointD+4",3.42573333333334,7.00228617640895,0.48923069509424,14.0000000013132,0.632254176437209
"7","fixed",NA,"watering_regimedrought:timepointN+10",4.50413333333334,7.00228617640895,0.643237539834917,14.000000001945,0.530465536635402
"8","fixed",NA,"watering_regimedrought:timepointN+4",16.3211666666667,7.00228617640895,2.33083399556755,14.0000000010736,0.0352258258743217
"9","ran_pars","replicate","sd__(Intercept)",1.2166422411586,NA,NA,NA,NA
"10","ran_pars","Residual","sd__Observation",6.06415771333875,NA,NA,NA,NA
